database_id,target_id,comparator_id,analysis_id,covariate_id,coefficient
YUHS,1792797,1793457,1,0,3.9354953616135715
YUHS,1792797,1793457,2,0,3.9354953616135715
YUHS,1792797,1793457,3,0,6.325270488824344
YUHS,1792797,1793457,3,2012006,-3.0267505566600423
YUHS,1792797,1793457,3,3001604704,2.819793911836065
YUHS,1792797,1793457,3,3052023704,-2.803483596413379
YUHS,1792797,1793457,3,30101562710,2.4159383199755964
YUHS,1792797,1793457,3,40769783704,2.3912797291116474
YUHS,1792797,1793457,3,3007,-2.223123127346439
YUHS,1792797,1793457,3,2013006,-1.8270766331595785
YUHS,1792797,1793457,3,21601522413,1.786895118516511
YUHS,1792797,1793457,3,21601815410,-1.7483956611133233
YUHS,1792797,1793457,3,19050104404,-1.6437366693379272
YUHS,1792797,1793457,3,3027598704,1.486130508232712
YUHS,1792797,1793457,3,21602819410,1.479609290359492
YUHS,1792797,1793457,3,30009053710,-1.3719829794443361
YUHS,1792797,1793457,3,40762532702,-1.3705758441334974
YUHS,1792797,1793457,3,21601625412,-1.3070026034460696
YUHS,1792797,1793457,3,4219810602,1.282923354129659
YUHS,1792797,1793457,3,1597756402,-1.2827851825714431
YUHS,1792797,1793457,3,2015006,1.2621036665362129
YUHS,1792797,1793457,3,4305581504,-1.2152929613159944
YUHS,1792797,1793457,3,317576210,-1.1805171398435523
YUHS,1792797,1793457,3,3016771702,1.1175943360097498
YUHS,1792797,1793457,3,40515208204,1.0775402266018714
YUHS,1792797,1793457,3,21601833412,-1.0180427444546531
YUHS,1792797,1793457,3,4111393202,-0.9550609057561827
YUHS,1792797,1793457,3,443784212,0.906976677877429
YUHS,1792797,1793457,3,14003,0.837014299857501
YUHS,1792797,1793457,3,318800210,0.8257975553054685
YUHS,1792797,1793457,3,30186772710,-0.8155168004434084
YUHS,1792797,1793457,3,30101563710,-0.8083635766325472
YUHS,1792797,1793457,3,30222172710,-0.7853112811181272
YUHS,1792797,1793457,3,30190693710,0.7653974973358422
YUHS,1792797,1793457,3,30072203710,-0.7648918343136591
YUHS,1792797,1793457,3,1346823404,0.7645238821099104
YUHS,1792797,1793457,3,4159131210,-0.744664920365419
YUHS,1792797,1793457,3,30221922710,-0.722667977369932
YUHS,1792797,1793457,3,315296202,-0.7016437600650735
