target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
1792797,1793457,4215978,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,42873169,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,374366,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,261326,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,140362,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,444367,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,74189,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,380731,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4299544,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4172458,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4028970,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,380839,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,133228,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4218106,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
