"target_id","comparator_id","outcome_id","analysis_id","log_hazard_ratio","log_likelihood"
1792797,1793457,198803,1,-2.30258509299405,-1.1069110914828
1792797,1793457,198803,1,-1.79089951677315,-0.713152306580969
1792797,1793457,198803,1,-1.27921394055225,-0.383912783668621
1792797,1793457,198803,1,-0.767528364331348,-0.143795876284702
1792797,1793457,198803,1,-0.255842788110449,-0.0163194473995163
1792797,1793457,198803,1,0,0
1792797,1793457,198803,1,0.25584278811045,-0.0163194473995165
1792797,1793457,198803,1,0.767528364331349,-0.143795876284703
1792797,1793457,198803,1,1.27921394055225,-0.383912783668621
1792797,1793457,198803,1,1.79089951677315,-0.71315230658097
1792797,1793457,198803,1,2.30258509299405,-1.1069110914828
1792797,1793457,318800,1,-2.30258509299405,-10.9625544284526
1792797,1793457,318800,1,-2.0467423048836,-9.4332484707775
1792797,1793457,318800,1,-1.79089951677315,-7.97038935150165
1792797,1793457,318800,1,-1.5350567286627,-6.58784413271365
1792797,1793457,318800,1,-1.27921394055225,-5.30082058449812
1792797,1793457,318800,1,-1.0233711524418,-4.12525223252673
1792797,1793457,318800,1,-0.767528364331348,-3.07686489513673
1792797,1793457,318800,1,-0.511685576220899,-2.1699683503096
1792797,1793457,318800,1,-0.255842788110449,-1.416111598269
1792797,1793457,318800,1,2.22044604925031e-16,-0.822828785050517
1792797,1793457,318800,1,0.25584278811045,-0.392740445827202
1792797,1793457,318800,1,0.511685576220899,-0.123226045426005
1792797,1793457,318800,1,0.767528364331349,-0.00675143781133514
1792797,1793457,318800,1,0.847297860387204,0
1792797,1793457,318800,1,1.06325590046973,-0.0475152105760062
1792797,1793457,318800,1,1.27921394055225,-0.18396482228913
1792797,1793457,318800,1,1.5350567286627,-0.447617218062853
1792797,1793457,318800,1,1.79089951677315,-0.806791284409075
1792797,1793457,318800,1,2.0467423048836,-1.24627925124312
1792797,1793457,318800,1,2.30258509299405,-1.75221405647645
1792797,1793457,1792364,1,-2.30258509299405,-2.30258509299405
1792797,1793457,1792364,1,-1.79089951677315,-1.84986291243268
1792797,1793457,1792364,1,-1.27921394055225,-1.42940036286605
1792797,1793457,1792364,1,-0.767528364331348,-1.05349912106365
1792797,1793457,1792364,1,-0.255842788110449,-0.733918118510603
1792797,1793457,1792364,1,0.25584278811045,-0.478075330400154
1792797,1793457,1792364,1,0.767528364331349,-0.285970756732297
1792797,1793457,1792364,1,1.27921394055225,-0.150186422313807
1792797,1793457,1792364,1,1.79089951677315,-0.0589633956595319
1792797,1793457,1792364,1,2.30258509299405,0
1792797,1793457,1792365,1,-2.30258509299405,-2.30258509299405
1792797,1793457,1792365,1,-1.79089951677315,-1.84986291243268
1792797,1793457,1792365,1,-1.27921394055225,-1.42940036286605
1792797,1793457,1792365,1,-0.767528364331348,-1.05349912106365
1792797,1793457,1792365,1,-0.255842788110449,-0.733918118510603
1792797,1793457,1792365,1,0.25584278811045,-0.478075330400154
1792797,1793457,1792365,1,0.767528364331349,-0.285970756732297
1792797,1793457,1792365,1,1.27921394055225,-0.150186422313807
1792797,1793457,1792365,1,1.79089951677315,-0.0589633956595319
1792797,1793457,1792365,1,2.30258509299405,0
1792797,1793457,1792366,1,-2.30258509299405,0
1792797,1793457,1792366,1,-1.79089951677315,-0.117926791319064
1792797,1793457,1792366,1,-1.27921394055225,-0.300372844627615
1792797,1793457,1792366,1,-0.767528364331348,-0.571941513464595
1792797,1793457,1792366,1,-0.255842788110449,-0.956150660800308
1792797,1793457,1792366,1,0.25584278811045,-1.46783623702121
1792797,1793457,1792366,1,0.767528364331349,-2.10699824212729
